step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,MicroF1,MacroF1,error
2208.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,2.072259,True,0.0,0.0,0.0,
2254.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,2.156069,True,0.0,0.0,0.0,
2300.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,2.241516,True,0.0,0.0,0.0,
2310.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,2.3274779999999997,True,0.0,0.0,0.0,
,Multiclass classification,CapyMoa Leveraging Bagging,Insects,,,,,,,HTTP Error 404: Not Found
408.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0034580230712890625,0.022864,True,0.0,0.0,0.0,
816.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0035352706909179688,0.063442,True,0.0,0.0,0.0,
1224.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.003612518310546875,0.122013,True,0.0,0.0,0.0,
1632.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0036897659301757812,0.19796999999999998,True,0.0,0.0,0.0,
2040.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0038890838623046875,0.291425,True,0.0,0.0,0.0,
2448.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.003966331481933594,0.40254599999999996,True,0.0,0.0,0.0,
2856.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0040435791015625,0.531245,True,0.0,0.0,0.0,
3264.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.004120826721191406,0.677419,True,0.0,0.0,0.0,
3672.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0041980743408203125,0.841181,True,0.0,0.0,0.0,
4080.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.004542350769042969,1.0226469999999999,True,0.0,0.0,0.0,
4488.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.004619598388671875,1.2225419999999998,True,0.0,0.0,0.0,
4896.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.004696846008300781,1.440184,True,0.0,0.0,0.0,
5304.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0047740936279296875,1.675601,True,0.0,0.0,0.0,
5712.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.004851341247558594,1.9286029999999998,True,0.0,0.0,0.0,
6120.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0049285888671875,2.1994059999999998,True,0.0,0.0,0.0,
6528.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.005005836486816406,2.4882589999999998,True,0.0,0.0,0.0,
6936.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0050830841064453125,2.794901,True,0.0,0.0,0.0,
7344.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.005160331726074219,3.119404,True,0.0,0.0,0.0,
7752.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.005237579345703125,3.461852,True,0.0,0.0,0.0,
8160.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.005314826965332031,3.822204,True,0.0,0.0,0.0,
8568.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0059032440185546875,4.200542,True,0.0,0.0,0.0,
8976.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.005980491638183594,4.596787000000001,True,0.0,0.0,0.0,
9384.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0060577392578125,5.011481000000001,True,0.0,0.0,0.0,
9792.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.006134986877441406,5.444190000000001,True,0.0,0.0,0.0,
10200.0,Multiclass classification,CapyMoa Leveraging Bagging,Keystroke,0.0062122344970703125,5.894496000000001,True,0.0,0.0,0.0,
