step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,F1
49478,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,38.941153,False,0.0,0.0
51381,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,41.654927,False,0.0,0.0
53284,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,44.457751,False,0.0,0.0
55187,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,47.349518,False,0.0,0.0
57090,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,50.332594,False,0.0,0.0
58993,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,53.403006,False,0.0,0.0
60896,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,56.562363,False,0.0,0.0
62799,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,59.888858,False,0.0,0.0
64702,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,63.303679,False,0.0,0.0
66605,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,66.807728,False,0.0,0.0
68508,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,70.400389,False,0.0,0.0
70411,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,74.092433,False,0.0,0.0
72314,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,77.872453,False,0.0,0.0
74217,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,81.74117999999999,False,0.0,0.0
76120,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,85.69792599999998,False,0.0,0.0
78023,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,89.74331899999999,False,0.0,0.0
79926,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,93.87769099999998,False,0.0,0.0
81829,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,98.10036699999998,False,0.0,0.0
83732,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,102.41058599999998,False,0.0,0.0
85635,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,106.80815799999998,False,0.0,0.0
87538,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,111.29332899999997,False,0.0,0.0
89441,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,115.86741099999998,False,0.0,0.0
91344,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,120.52977999999997,False,0.0,0.0
93247,Binary classification,CapyMoa Hoeffding Tree,SMTP,0.02205944061279297,125.28018499999997,False,0.0,0.0
